Date;Quote
2020-01-01;104.3
2020-02-01;104.3
2020-03-01;104.6
2020-04-01;105.8
2020-05-01;106.3
2020-06-01;105.7
2020-07-01;104.5
2020-08-01;104.3
2020-09-01;103.9
2020-10-01;104.1
2020-11-01;104.6
2020-12-01;104.0
2021-01-01;104.7
2021-02-01;104.5
2021-03-01;104.5
2021-04-01;105.1
2021-05-01;105.3
2021-06-01;105.0
2021-07-01;104.5
2021-08-01;104.9
2021-09-01;104.8
2021-10-01;105.1
2021-11-01;105.9
2021-12-01;106.5
2022-01-01;108.0
2022-02-01;108.8
2022-03-01;109.7
2022-04-01;111.1
2022-05-01;112.4
2022-06-01;113.6
2022-07-01;114.0
2022-08-01;115.0
2022-09-01;116.2
2022-10-01;118.3
2022-11-01;119.4
2022-12-01;119.9
2023-01-01;121.0
2023-02-01;122.6
2023-03-01;123.5
2023-04-01;124.0
2023-05-01;125.0
2023-06-01;125.5
2023-07-01;125.6
2023-08-01;125.8
2023-09-01;125.6
2023-10-01;125.5
2023-11-01;125.9
2023-12-01;126.2
2024-01-01;127.2
2024-02-01;126.8
2024-03-01;126.7
2024-04-01;126.8
2024-05-01;127.2
2024-06-01;127.0
2024-07-01;126.5
2024-08-01;126.6
2024-09-01;126.8
2024-10-01;128.0
2024-11-01;128.8
2024-12-01;128.3
2025-01-01;129.3
2025-02-01;129.3
2025-03-01;129.3
2025-04-01;130.1
2025-05-01;130.6
2025-06-01;130.6
2025-07-01;130.6
2025-08-01;130.9
2025-09-01;130.7
2025-10-01;130.7
2025-11-01;130.7
2025-12-01;130.7
2026-01-01;131.7249
2026-02-01;131.8552
2026-03-01;132.1158
2026-04-01;133.2884
