Date;Quote
2020-01-01;102.8
2020-02-01;102.7
2020-03-01;102.8
2020-04-01;102.7
2020-05-01;102.5
2020-06-01;102.6
2020-07-01;102.5
2020-08-01;102.7
2020-09-01;102.1
2020-10-01;102.3
2020-11-01;102.2
2020-12-01;102.5
2021-01-01;103.1
2021-02-01;103.2
2021-03-01;103.6
2021-04-01;103.9
2021-05-01;103.9
2021-06-01;104.0
2021-07-01;104.4
2021-08-01;104.8
2021-09-01;104.7
2021-10-01;105.3
2021-11-01;105.9
2021-12-01;106.4
2022-01-01;107.8
2022-02-01;108.9
2022-03-01;109.9
2022-04-01;109.8
2022-05-01;110.6
2022-06-01;111.9
2022-07-01;112.3
2022-08-01;113.2
2022-09-01;113.5
2022-10-01;117.1
2022-11-01;117.7
2022-12-01;118.1
2023-01-01;118.2
2023-02-01;118.4
2023-03-01;118.0
2023-04-01;118.3
2023-05-01;118.5
2023-06-01;118.5
2023-07-01;118.6
2023-08-01;119.0
2023-09-01;119.2
2023-10-01;119.1
2023-11-01;118.6
2023-12-01;118.8
2024-01-01;119.2
2024-02-01;119.3
2024-03-01;119.3
2024-04-01;119.3
2024-05-01;119.5
2024-06-01;119.5
2024-07-01;120.0
2024-08-01;120.1
2024-09-01;120.0
2024-10-01;120.0
2024-11-01;120.0
2024-12-01;120.2
2025-01-01;120.9
2025-02-01;121.2
2025-03-01;121.5
2025-04-01;121.4
2025-05-01;121.2
2025-06-01;121.4
2025-07-01;121.8
2025-08-01;121.9
2025-09-01;121.7
2025-10-01;121.5
2025-11-01;121.3
2025-12-01;121.5
2026-01-01;121.9274
2026-02-01;122.6561
2026-03-01;123.2633
